type,siteid,resourceid
Archaeological Site,CH00347,79ca37c3-ee47-410e-97a8-6e08a68d055b
Archaeological Site,CH00348,0462b1f1-b403-416e-ad0d-b38eb017cf67
Archaeological Site,CH00349,0ecd8e6d-f296-490f-8300-4b9f2d5de3d7
Archaeological Site,CH00350,ffc4d9fa-769e-4c12-a17d-5bb03c8beb16
Archaeological Site,CH00351,cca2c8f3-af3d-421b-a6b3-bf8db30b56ca
Archaeological Site,CH00352,c6cf2085-b29a-4b3b-81de-66894e6f87e1
Archaeological Site,CH00353,1982f4eb-e241-416a-b270-01158d006645
Archaeological Site,CH00354,672183f4-074b-4c1c-a47a-dcf850adc42c
Archaeological Site,CH00355,dce3a1af-cb3f-4193-b7f7-8e2e254e804d
Archaeological Site,CH00356,782d70de-416f-4d36-a979-e5cd08a4fef5
Archaeological Site,CH00359,ff87b632-c367-4a2b-82ab-77a6d328a1ec
Archaeological Site,CH00450,f4de3be4-b248-49ec-9b28-a8c96c499316
Archaeological Site,CH00463,ba3f8dc9-07b3-4959-a42b-200c58048ec5
Archaeological Site,CH00479,c463b3a8-3fcd-4da7-b678-c764efc10cab
Archaeological Site,CH00480,be209204-ecbb-4e8e-8f30-f0a5bd5a1ae5
Archaeological Site,CH00481,ee3136c0-68b4-408e-b47e-1b45a4ac0fb2
Archaeological Site,CH00482,2e3352de-eb1c-4ddd-8aaa-b67b395f8671
Archaeological Site,CH00483,27f9ad4f-c1e1-4146-8f0d-8405fde9eb6a
Archaeological Site,CH00484,6259db82-1c2e-4d3e-9b69-f3be44d92ad7
Archaeological Site,CH00485,7f3743ac-007f-4f7f-885c-5a76e69698c9
Archaeological Site,CH00486,d25dffe0-7b73-46b8-963c-e93b0d323448
Archaeological Site,CH00487,ee1e4b0c-d818-4ef6-8311-51afd52af457
Archaeological Site,CH00488,f8143e84-98cc-44e7-b5f5-b1805d502a4b
Archaeological Site,CH00489,6edaa0f8-3ae1-410b-8570-43b7396daa17
Archaeological Site,CH00490,fc839e79-29be-47ac-9656-e7a4038577e8
Archaeological Site,CH00491,60660538-1e41-4d96-aa20-a7af163f876b
Archaeological Site,CH00492,2cb31e4d-3256-49b8-a4da-77efeb512520
Archaeological Site,CH00496,d6dad3e2-17b2-42be-ae50-1202feedc960
Archaeological Site,CH00497,09ebd5a0-0310-4653-9cdb-209abc7ac16f
Archaeological Site,CH00504,3109d06d-add2-451a-a6ad-83044b4dcf93
Archaeological Site,CH00506,c7514faf-484a-4021-9cef-9ea4cc4af407
Archaeological Site,CH00647,1dea8757-b63f-45bc-b455-18bee2b240eb
Archaeological Site,CH01894,83236c34-8e80-4b4d-b2c9-0e38a3d7d16f
Archaeological Site,CH02160,e11ab3ed-541a-4caa-8bdf-21a86532a967
Archaeological Site,CH02161,7887fdb6-6750-4959-b7fe-783d01ae2677
Archaeological Site,CH02167,74b98e25-eae1-4e30-af31-f9866c3cdc31
Archaeological Site,CH02170,b9091939-ea5a-4cbe-a2ef-af355ab1c030
Archaeological Site,CH02171,cdce9b41-96aa-46c4-9c0a-4f2efedfbb9f
Archaeological Site,CH02172,dd1ff0d9-b03e-4442-9237-0cc7af105199
Archaeological Site,CH02173,8a9fbf16-0a9c-456f-9a29-d755383840e9
Archaeological Site,CH02174,42856312-596c-4f46-a277-71ccbe75db53
Archaeological Site,CH02176,0e985ca2-6f54-47dc-9aa1-1952583d9670
Archaeological Site,CH02179,ae60a7dd-b42a-409d-8dd9-fb370ca06448
Archaeological Site,CH02180,27a3c68d-4fc9-4845-8aec-cf4e7744a8c0
Archaeological Site,CH02182,e5239099-387f-47c6-9fd1-2963e41c69e6
Archaeological Site,CH02183,f32ac1a1-7fdc-49f8-bdd0-58e5de6c5ab6
Archaeological Site,CH02184,dd6de587-5222-4209-9f83-10d83c414138
Archaeological Site,CH02185,214a1103-97f4-441d-a2b3-42f4d301dd6e
Archaeological Site,CH02186,d5aff520-5555-43e9-87d8-a77eb0ac8da9
Archaeological Site,CH02187,a9780193-b325-4721-a032-418c6be4e15d
Archaeological Site,CH02188,51f02c63-176e-4d05-9276-4f3f67555035
Archaeological Site,CH02189,2acad0f3-dee8-45fd-a139-d26dedbc99d5
Archaeological Site,CH02190,56204a7b-1907-4349-9c9a-accd2745bdd5
Archaeological Site,CH02191,19d1eebe-1d4d-416e-b44d-f129ee1c3e9c
Archaeological Site,CH02192,86230505-2166-42c2-96f9-2ee4446793b2
Archaeological Site,CH02194,cbf8e5c7-b609-4dce-8128-5f16359c8f39
Archaeological Site,CH02705,50c24a71-46ce-4e10-924c-c89b9827a4be
Archaeological Site,CH02706,16515eff-d8ea-4e39-ac57-51ca8d2e2d80
Archaeological Site,CI00017,ed2220f9-8ba1-4057-8d77-b778608fe467
Archaeological Site,CI00022,e77a90fe-2856-40ad-bb6e-cb16fb896667
Archaeological Site,CI00037,43469559-4dcc-459e-b47f-fd7263df45b9
Archaeological Site,CI00042,70e3b417-0d69-4dca-9b6f-5f77743bc356
