ResourceID,geom,SITEID,SITENAME
bc625d42-bd5c-4eca-9179-9029e5063f5b,"MULTIPOLYGON (((-80.156921092999937 25.994308157000034,-80.156928705999974 25.994281471000079,-80.156936361999954 25.994256667000059,-80.156936361999954 25.994229981000046,-80.15694397499999 25.994205177000026,-80.15694397499999 25.994178448000071,-80.15694397499999 25.994151762000058,-80.15694397499999 25.994126958000038,-80.15695163099997 25.994100272000026,-80.15695163099997 25.994075468000062,-80.15695163099997 25.99404878200005,-80.15695163099997 25.994022054000027,-80.15695163099997 25.993997292000074,-80.15694397499999 25.993970564000051,-80.15694397499999 25.993943878000039,-80.15694397499999 25.993919074000075,-80.15694397499999 25.993892388000063,-80.156936362999943 25.993867584000043,-80.156936362999943 25.99384089800003,-80.156928706999963 25.993816094000067,-80.156928706999963 25.993789365000055,-80.156921093999983 25.993764604000035,-80.156913481999936 25.993737875000079,-80.156905825999957 25.993713071000059,-80.156898212999977 25.993688309000049,-80.156890557999986 25.993663505000029,-80.15688294499995 25.993638701000066,-80.15687533199997 25.993613897000046,-80.15686767699998 25.993575750000048,-80.15686767699998 25.993528066000067,-80.156875332999959 25.993478500000037,-80.156882945999939 25.993430817000046,-80.156882945999939 25.993383133000066,-80.156890558999976 25.993335449000028,-80.156890558999976 25.993285841000045,-80.156890558999976 25.993238199000075,-80.156890558999976 25.993190516000027,-80.156890558999976 25.993140907000054,-80.156882945999939 25.993093223000074,-80.156882945999939 25.993045540000026,-80.156882946999986 25.992995974000053,-80.156875333999949 25.992948290000072,-80.156867677999969 25.992900606000035,-80.156860065999979 25.992852922000054,-80.156852409999942 25.992805239000063,-80.156844796999962 25.992757555000026,-80.156829528999936 25.992677454000045,-80.156661704999976 25.992671723000058,-80.156501449999951 25.992667916000073,-80.156333625999935 25.992665991000024,-80.156165758999975 25.992665991000024,-80.155997891999959 25.99266979600003,-80.155837679999934 25.992675527000074,-80.155669854999985 25.992685063000067,-80.155501987999969 25.992696523000063,-80.15534177699999 25.992709866000041,-80.155173908999984 25.992727014000025,-80.155006041999968 25.992746087000057,-80.154815335999956 25.992770891000077,-80.154807678999987 25.993486106000034,-80.154830557999958 25.994516034000071,-80.155860556999983 25.994479815000034,-80.156890555999951 25.994434059000071,-80.156898211999987 25.994409255000051,-80.156905824999967 25.99438445100003,-80.156913479999957 25.994357765000075,-80.156921092999937 25.994332961000055,-80.156921092999937 25.994308157000034)))
",BD02560,HALLANDALE CITY CEMETERY
957de5f6-0270-4356-8693-33b119359fce,"MULTIPOLYGON (((-80.210759637999956 25.978469983000025,-80.210859075999963 25.978370553000047,-80.210898850999968 25.978291009000031,-80.210918738999965 25.978191578000065,-80.21087896399996 25.978072262000069,-80.210859076999952 25.978052376000051,-80.210859076999952 25.978012646000025,-80.210839189999945 25.977972874000045,-80.21079941499994 25.977933102000065,-80.210759639999935 25.977933101000076,-80.21069997799998 25.977913215000058,-80.210600540999963 25.97789332900004,-80.210521032999964 25.97789332900004,-80.210461370999951 25.977873442000032,-80.210381820999942 25.977873442000032,-80.210302270999989 25.97789332800005,-80.210182946999964 25.977913214000068,-80.210163058999967 25.977952986000048,-80.210123283999962 25.978012644000046,-80.210123283999962 25.978092145000062,-80.210083507999968 25.978251234000027,-80.210083507999968 25.978330778000043,-80.210143169999981 25.978430209000066,-80.210202831999936 25.978469981000046,-80.21032215699995 25.978489868000054,-80.210600538999984 25.978489869000043,-80.210759637999956 25.978469983000025)))
",BD02914,MIRAMAR GRAVES SITE
6ea7f76f-77da-4ee2-a267-55198f667d5c,"MULTIPOLYGON (((-80.132765744999972 26.104087391000064,-80.132363077999969 26.104093420000027,-80.130692483999951 26.10766876100007,-80.132891906999987 26.107650763000038,-80.132765744999972 26.104087391000064)))
",BD03043,EVERGREEN CEMETERY
df01f010-ea87-43c5-8005-804db8d898a4,"MULTIPOLYGON (((-80.151385550999976 26.036684126000068,-80.150278525999965 26.036689982000041,-80.150301961999958 26.037337156000035,-80.151388458999975 26.037313724000057,-80.151385550999976 26.036684126000068)))
",BD03410,West Lawn Cemetery
75d99eb1-b557-47e6-8150-a0517f46728f,"MULTIPOLYGON (((-80.212832400999957 26.024584955000023,-80.212760038999988 26.023017633000052,-80.208588250999981 26.023065859000042,-80.208708812999987 26.024777857000061,-80.212808278999944 26.024633194000046,-80.212832400999957 26.024584955000023)))
",BD04045,Hollywood Memorial Gardens
b46efb3c-cf24-4b87-900a-35a1d10920c3,"MULTIPOLYGON (((-80.143912205999982 26.112903053000025,-80.143912205999982 26.112376194000035,-80.143351419999988 26.112376194000035,-80.143352177999986 26.11290314200005,-80.143912205999982 26.112903053000025)))
",BD04157,Stranahan Cemetery
16414cb9-6253-49d4-9583-471a2c6e8936,"MULTIPOLYGON (((-80.100583790999963 26.312380831000041,-80.100583790999963 26.311150439000073,-80.099749534999944 26.311150439000073,-80.099749534999944 26.312380831000041,-80.100583790999963 26.312380831000041)))
",BD04158,Deerfield Beach Cemetery
20ba8043-eb49-4dd4-bed4-02fb5978c92a,"MULTIPOLYGON (((-80.168956655999978 26.134469215000024,-80.167345259999934 26.134474857000043,-80.167379045999951 26.135241048000069,-80.168945363999967 26.13521851400003,-80.168956655999978 26.134469215000024)))
",BD04879,North Woodlawn Cemetery
70644906-b8e3-4234-b006-785334309402,"MULTIPOLYGON (((-82.321859429999961 29.944905322000068,-82.321492431999957 29.944913877000033,-82.321492441999965 29.945297921000076,-82.321876504999977 29.945297919000041,-82.321859429999961 29.944905322000068)))
",BF00072,SW 10TH AVENUE HISTORIC CEMETERY
57a69bf9-2dc4-4c43-9782-e6a8f41e1b60,"MULTIPOLYGON (((-82.136504075999937 29.93185285900006,-82.136611975999983 29.931676362000076,-82.136396205999972 29.931499821000045,-82.136261105999949 29.931695692000062,-82.136504075999937 29.93185285900006)))
",BF00135,KELLER CEMETERY
0f7e0050-43fa-4981-8c9a-2e99174d853b,"MULTIPOLYGON (((-82.219227645999979 30.030487880000067,-82.218531426999959 30.030731095000078,-82.21920249599998 30.032257729000037,-82.219957435999959 30.031997664000073,-82.219227645999979 30.030487880000067)))
",BF00152,DYAL CEMETERY
51f6c478-ea9f-4033-96b3-cac60b78b508,"MULTIPOLYGON (((-82.218892189999963 30.033155228000055,-82.218699265999987 30.03333976600004,-82.219135426999969 30.033759133000046,-82.219345157999953 30.033557831000053,-82.218892189999963 30.033155228000055)))
",BF00153,CONNER CEMETERY
ae55ebc3-0e04-493d-99c2-eae079ffb0d7,"MULTIPOLYGON (((-82.137179839999988 29.946981276000031,-82.136988637999934 29.947603743000059,-82.137082215999953 29.947652583000036,-82.137126946999956 29.947465436000073,-82.137244932999977 29.946997570000065,-82.137179839999988 29.946981276000031)),((-82.136878807999949 29.94927583100008,-82.137236862999941 29.949271768000074,-82.137228734999951 29.94919042600003,-82.137228732999972 29.949109041000042,-82.13693577 29.949072433000026,-82.136878807999949 29.94927583100008)))
",BF00162,Brymer Cemetery
43a61135-0a86-42a6-a52f-6d3e74fd46ee,"MULTIPOLYGON (((-82.10363198899995 29.956022853000036,-82.102990453999951 29.955545834000077,-82.102842410999983 29.956401166000035,-82.103483934999986 29.956450518000054,-82.10363198899995 29.956022853000036)))
",BF00336,Greater Bethlehem Baptist Church
