ResourceID,geom,SITEID,SITENAME
da23dd3d-9cff-48bc-8822-cbd5b3ba90a6,POINT (-81.949653109999986 29.823353524000026),CL00161,MAGNOLIA CABIN
c87e5765-eaad-4e6c-9cf4-3a6ae1f8197b,POINT (-81.949393728999951 29.823225709000042),CL00162,CYPRESS CABIN
a3844c85-0024-4015-be77-5f0b021859b1,POINT (-81.949042754999937 29.823258157000055),CL00163,DOGWOOD CABIN
93d7e163-ba93-494f-bc9b-12c25c004da1,POINT (-81.948852002999956 29.823000639000043),CL00164,HOLLY CABIN
f5a28b98-c366-4e4a-b79d-af52dd5a19ed,POINT (-81.948630741999978 29.823160859000041),CL00165,CEDAR CABIN
b416c843-c63a-41e9-80a4-51d3119bc1f9,POINT (-81.948401840999963 29.823321079000038),CL00166,PALM CABIN
2c75621b-f8f7-4454-9c3d-9e394c2bb397,POINT (-81.948241608999979 29.823128456000063),CL00167,PINE CABIN
02a8830d-0225-42af-b68f-56d5c4e20fbe,POINT (-81.94802034099996 29.82297012500004),CL00168,OAK CABIN
babc2f27-2941-400e-a886-7966e3373d57,POINT (-81.947799123999971 29.823160861000076),CL00169,BAY CABIN
0f084616-2031-4002-ab90-aefd43ae068e,POINT (-81.953750286999934 29.823065480000025),CL00170,RANGER'S RESIDENCE
b1bca873-3ef0-4ad6-9584-189025b4d793,POINT (-81.955062580999936 29.822617266000066),CL00171,WATER TOWER
3bc73682-fc81-46b4-9f14-635792e90455,POINT (-81.953559612999982 29.826393780000046),CL00172,PICNIC PAVILION (SMALL)
46638edb-5128-44ba-bdc4-6c4747a4bc1e,POINT (-81.954452277999962 29.826967872000068),CL00173,MCDONALD MEMORIAL PAVILION
ac696db9-bbfa-4db9-9d1d-c3ccdd9715d0,POINT (-81.951705578999963 29.825976046000051),CL00175,BATHHOUSE
25605097-f948-488b-8461-797abb3b627a,POINT (-81.952743267999949 29.828064562000066),CL00715,PICNIC TABLES
57cea52d-55b1-4ef5-a8a5-06214714757a,POINT (-81.955254223999987 29.822378632000039),CL01311,Pump House
62aaad7a-7c22-4989-85e7-dfa8abbe4c0f,POINT (-81.946833891999972 29.823268635000034),CL01312,Maple Cottage
293a8d39-60fd-4368-8865-6b5b671f03ad,POINT (-81.946723883999937 29.823348637000038),CL01313,Hickory Cottage
79318982-4dc8-468a-b01b-87cbfcc8001d,POINT (-81.946483908999937 29.82349864300005),CL01314,Persimmon Cottage
7217b586-e2d2-4016-bf59-033bb1c9ab79,POINT (-81.94605387699994 29.823758651000048),CL01315,Walnut Cottage
54ba7fb7-2467-4a55-bbc0-a0483c60ecd7,POINT (-81.945773893999956 29.823678650000033),CL01316,Sweetgum Cottage
8e6dc499-083f-4dbb-abb2-1d494c5c3754,POINT (-81.952514200999985 29.826498592000064),CL01317,Concession Building
fe92a605-3dc9-425b-a4ef-f56344e66f4d,POINT (-81.954154120999988 29.820098694000023),CL01318,Sign Shop
4cb6a346-f0d4-46f8-8c7f-938d39abb84b,POINT (-81.950003982999988 29.820608675000074),CL01319,Ranger Residence
4d80eae0-3e95-4cfd-895d-3b7596b3730c,POINT (-81.953944321999984 29.828288557000064),CL01320,Barbeque Shelter
a11860c3-11f4-4924-b3e5-e18cb116fd79,POINT (-81.951914203999934 29.827058567000051),CL01321,Pavilion
e98ccb2e-980e-4ba0-9977-e59086c42b7d,POINT (-81.941173608999975 29.821228714000029),CL01322,Gonzalez Home/Ranger Residence
4da98e48-517f-469a-a299-a8e6f304cc65,POINT (-81.941483633999951 29.821098709000069),CL01323,Gonzalez Cottage 1
631b9871-bf78-4429-9f49-03e0a0304f60,POINT (-81.952674076999983 29.820108697000023),CL01324,Gonzalez Cottage 2
fa1693f6-4eaa-45e8-b1b6-f6e1990ced5e,POINT (-81.953964205999966 29.822818648000066),CL01325,Gonzalez Cottage 3
ca42cdbb-4891-4206-abdc-8b347a0bb743,POINT (-81.941473628999972 29.820928704000039),CL01326,Gonzalez Cottage 4
